,overall accuracy,change accuracy,no change accuracy,precision,recall,dice,kappa,f1
multi_in_fcfe,0.8741223884351326,0.65249652251827,0.8697614200187452,0.2522378774275156,0.6224001511423425,0.33678522100672126,0.28250495680329163,0.3589894056891449
with_ch_at_fcef_resnst_fca,0.9447405266039299,0.4900310970913393,0.9578306512399153,0.4066496628449496,0.43983812539866474,0.38256805085984524,0.3451953111419271,0.4225932798648875
with_ch_at_fcef_resnst_se,0.913931181936553,0.5813356037392761,0.9153386480880507,0.31798107487459976,0.5418499289362719,0.3702123556431616,0.32266439557442383,0.40077183088359514
with_ch_at_fcef_resnxt_fca,0.8165241588245739,0.7835557844602701,0.8023340972987089,0.1936136750843037,0.7425672933459282,0.28862458837190363,0.2320924675600095,0.3071439978173916
with_ch_at_fcef_resnxt_se,0.8987005985144413,0.6008044036218163,0.8966689290422382,0.2691658331349379,0.5715014743900886,0.33482176542747766,0.2843466036579092,0.36596800925905904
with_ch_at_fcef_res_fca,0.8807289817116477,0.7014762490818446,0.8741610610123837,0.2578685952943157,0.6658182069800342,0.34527207349398825,0.2997432390869962,0.37175719157742304
with_ch_at_fcef_res_se,0.8763113310842803,0.6497138372876428,0.8693174611438405,0.2653966066568638,0.6183148637188204,0.34504787244077306,0.2878007414895392,0.37138516852500364
with_sp_at_fcef_resnst_self,0.9093119303385416,0.06955076161433346,0.9546493996273387,0.06107256989079439,0.06815368769633948,0.049880713284496295,0.0070018710940723495,0.06441911934721972
with_sp_at_fcef_resnxt_self,0.6372324625651041,0.819052031545928,0.611001055123228,0.09954343675847414,0.7903705248326967,0.1716913411421983,0.09416030014714726,0.17681753911079698
with_sp_at_fcef_res_self,0.7372339422052557,0.7148150677482287,0.7241576196569385,0.11472094074865291,0.685702573846687,0.18637162911225896,0.11683763649004197,0.1965570548867095
comb_chsp_at_fcef_resnst_add,0.8844780199455492,0.6295572130969076,0.8887115536314069,0.25746262837624684,0.5869442057428937,0.3248548020439392,0.2808814519649428,0.3579227259059641
comb_chsp_at_fcef_resnst_focat,0.6805017644708807,0.742197944585121,0.6778789993347318,0.1452971425486876,0.7033974235933839,0.20460507342200304,0.1468369525627526,0.24084432680842435
comb_chsp_at_fcef_resnst_sp,0.8878011992483428,0.330659103636263,0.9123320543404781,0.17693425609137525,0.30222355508047977,0.20464020426715568,0.14865608823266951,0.22319869840242074
comb_chsp_at_fcef_resnxt_focat,0.8370463053385416,0.7152660525770802,0.831111030145125,0.24010469133711673,0.6796455476997476,0.3061311769327431,0.2587413633609134,0.35484869157517646
comb_chsp_at_fcef_res_add,0.8844868053089489,0.6728533401407979,0.879356122378147,0.27035209552074474,0.6358552700134389,0.3486468058051259,0.3052940310797457,0.3793939692703979
comb_chsp_at_fcef_res_focat,0.7922428015506628,0.7654355170035904,0.7794004362640958,0.19027778666438247,0.7408099954129395,0.27980304204604844,0.2241554500969042,0.3027849553594926
comb_chsp_at_fcef_res_sp,0.85955810546875,0.6285276572135362,0.8525393009185791,0.23197533130278863,0.5903064655422261,0.29873745764648035,0.2488204442373844,0.3330647435945761
comb_chsp_at_fcfe_resnxt_add,0.884870586973248,0.6085083985870535,0.8814169439402494,0.26813268757806247,0.5758096162568439,0.33988245778891724,0.2864179518497126,0.36588610202064975
comb_chsp_at_fcfe_resnxt_sp,0.8655645197088068,0.6429805057969961,0.858318460710121,0.22644475697906633,0.6105446933740468,0.3062841079372447,0.24676971972186232,0.33036173791107415
